Label,Step id,Step time
6 ppn,1,149.19
6 ppn,2,2.02
6 ppn,3,1.92
6 ppn,4,1.96
6 ppn,5,1.9
6 ppn,6,1.73
6 ppn,7,1.88
6 ppn,8,1.81
6 ppn,9,1.94
6 ppn,10,1.8
6 ppn,11,1.69
6 ppn,12,1.41
6 ppn,13,1.37
6 ppn,14,1.36
6 ppn,15,1.41
6 ppn,16,1.39
6 ppn,17,1.37
6 ppn,18,1.36
6 ppn,19,1.35
6 ppn,20,1.41
6 ppn,21,1.38
6 ppn,22,1.39
6 ppn,23,1.36
6 ppn,24,1.38
6 ppn,25,1.41
6 ppn,26,1.39
6 ppn,27,1.38
6 ppn,28,1.37
6 ppn,29,1.37
6 ppn,30,1.42
6 ppn,31,1.42
6 ppn,32,1.38
6 ppn,33,1.38
6 ppn,34,1.37
6 ppn,35,1.42
6 ppn,36,1.39
6 ppn,37,1.38
6 ppn,38,1.38
6 ppn,39,1.36
6 ppn,40,1.42
6 ppn,41,1.4
6 ppn,42,1.39
6 ppn,43,1.37
6 ppn,44,1.36
6 ppn,45,1.42
6 ppn,46,1.39
6 ppn,47,1.37
6 ppn,48,1.37
6 ppn,49,1.37
6 ppn,50,1.43
1 ppn,1,138.75
1 ppn,2,2.14
1 ppn,3,1.4
1 ppn,4,1.4
1 ppn,5,1.52
1 ppn,6,1.41
1 ppn,7,1.41
1 ppn,8,1.47
1 ppn,9,1.42
1 ppn,10,1.44
1 ppn,11,1.42
1 ppn,12,1.5
1 ppn,13,1.38
1 ppn,14,1.4
1 ppn,15,1.45
1 ppn,16,1.42
1 ppn,17,1.48
1 ppn,18,1.5
1 ppn,19,1.4
1 ppn,20,1.51
1 ppn,21,1.43
1 ppn,22,1.41
1 ppn,23,1.41
1 ppn,24,1.51
1 ppn,25,1.43
1 ppn,26,1.42
1 ppn,27,1.42
1 ppn,28,1.38
1 ppn,29,1.37
1 ppn,30,1.44
1 ppn,31,1.43
1 ppn,32,1.39
1 ppn,33,1.39
1 ppn,34,1.49
1 ppn,35,1.49
1 ppn,36,1.41
1 ppn,37,1.4
1 ppn,38,1.38
1 ppn,39,1.37
1 ppn,40,1.52
1 ppn,41,1.41
1 ppn,42,1.4
1 ppn,43,1.41
1 ppn,44,1.41
1 ppn,45,1.43
1 ppn,46,1.58
1 ppn,47,1.62
1 ppn,48,1.66
1 ppn,49,1.62
1 ppn,50,1.43
4 ppn,1,145.95
4 ppn,2,2.19
4 ppn,3,1.96
4 ppn,4,1.82
4 ppn,5,1.99
4 ppn,6,1.75
4 ppn,7,1.8
4 ppn,8,1.62
4 ppn,9,1.62
4 ppn,10,1.64
4 ppn,11,1.67
4 ppn,12,1.61
4 ppn,13,1.64
4 ppn,14,1.4
4 ppn,15,1.45
4 ppn,16,2.56
4 ppn,17,1.42
4 ppn,18,1.41
4 ppn,19,1.55
4 ppn,20,1.68
4 ppn,21,1.5
4 ppn,22,1.42
4 ppn,23,1.4
4 ppn,24,1.56
4 ppn,25,1.58
4 ppn,26,1.44
4 ppn,27,1.42
4 ppn,28,1.39
4 ppn,29,1.37
4 ppn,30,1.43
4 ppn,31,1.4
4 ppn,32,1.39
4 ppn,33,1.37
4 ppn,34,1.37
4 ppn,35,1.42
4 ppn,36,1.4
4 ppn,37,1.38
4 ppn,38,1.37
4 ppn,39,1.36
4 ppn,40,1.41
4 ppn,41,1.4
4 ppn,42,1.38
4 ppn,43,1.36
4 ppn,44,1.36
4 ppn,45,1.42
4 ppn,46,1.39
4 ppn,47,1.38
4 ppn,48,1.37
4 ppn,49,1.38
4 ppn,50,1.41
2 ppn,1,135.51
2 ppn,2,1.46
2 ppn,3,1.42
2 ppn,4,1.42
2 ppn,5,1.9
2 ppn,6,1.41
2 ppn,7,1.43
2 ppn,8,1.44
2 ppn,9,1.53
2 ppn,10,1.73
2 ppn,11,1.7
2 ppn,12,1.59
2 ppn,13,1.84
2 ppn,14,1.42
2 ppn,15,1.47
2 ppn,16,1.76
2 ppn,17,1.42
2 ppn,18,1.55
2 ppn,19,1.39
2 ppn,20,1.62
2 ppn,21,1.67
2 ppn,22,1.42
2 ppn,23,1.4
2 ppn,24,1.39
2 ppn,25,1.58
2 ppn,26,1.67
2 ppn,27,1.77
2 ppn,28,1.62
2 ppn,29,1.55
2 ppn,30,1.78
2 ppn,31,1.43
2 ppn,32,1.6
2 ppn,33,1.56
2 ppn,34,1.39
2 ppn,35,1.46
2 ppn,36,1.63
2 ppn,37,1.42
2 ppn,38,1.57
2 ppn,39,1.39
2 ppn,40,1.45
2 ppn,41,1.55
2 ppn,42,1.52
2 ppn,43,1.4
2 ppn,44,1.76
2 ppn,45,1.6
2 ppn,46,1.42
2 ppn,47,1.41
2 ppn,48,1.5
2 ppn,49,1.63
2 ppn,50,1.42
5 ppn,1,147.81
5 ppn,2,2.23
5 ppn,3,2.09
5 ppn,4,1.92
5 ppn,5,1.9
5 ppn,6,1.74
5 ppn,7,1.82
5 ppn,8,1.83
5 ppn,9,1.67
5 ppn,10,1.64
5 ppn,11,1.44
5 ppn,12,1.41
5 ppn,13,1.61
5 ppn,14,1.38
5 ppn,15,1.44
5 ppn,16,1.43
5 ppn,17,1.4
5 ppn,18,1.39
5 ppn,19,1.41
5 ppn,20,1.48
5 ppn,21,1.42
5 ppn,22,1.42
5 ppn,23,1.42
5 ppn,24,1.42
5 ppn,25,1.45
5 ppn,26,1.42
5 ppn,27,1.4
5 ppn,28,1.41
5 ppn,29,1.38
5 ppn,30,1.43
5 ppn,31,1.41
5 ppn,32,1.38
5 ppn,33,1.38
5 ppn,34,1.36
5 ppn,35,1.42
5 ppn,36,1.39
5 ppn,37,1.39
5 ppn,38,1.37
5 ppn,39,1.36
5 ppn,40,1.43
5 ppn,41,1.4
5 ppn,42,1.38
5 ppn,43,1.37
5 ppn,44,1.36
5 ppn,45,1.42
5 ppn,46,1.4
5 ppn,47,1.37
5 ppn,48,1.37
5 ppn,49,1.36
5 ppn,50,1.41
3 ppn,1,136.46
3 ppn,2,1.77
3 ppn,3,1.98
3 ppn,4,1.8
3 ppn,5,2.04
3 ppn,6,1.81
3 ppn,7,1.81
3 ppn,8,1.57
3 ppn,9,1.86
3 ppn,10,1.76
3 ppn,11,1.67
3 ppn,12,1.77
3 ppn,13,1.82
3 ppn,14,1.56
3 ppn,15,1.93
3 ppn,16,1.53
3 ppn,17,1.47
3 ppn,18,1.75
3 ppn,19,1.61
3 ppn,20,1.56
3 ppn,21,1.59
3 ppn,22,1.75
3 ppn,23,1.63
3 ppn,24,1.56
3 ppn,25,1.79
3 ppn,26,1.67
3 ppn,27,1.62
3 ppn,28,1.66
3 ppn,29,1.63
3 ppn,30,1.67
3 ppn,31,1.76
3 ppn,32,1.39
3 ppn,33,1.39
3 ppn,34,1.36
3 ppn,35,1.43
3 ppn,36,1.39
3 ppn,37,1.39
3 ppn,38,1.38
3 ppn,39,1.36
3 ppn,40,1.41
3 ppn,41,1.41
3 ppn,42,1.39
3 ppn,43,1.37
3 ppn,44,1.37
3 ppn,45,1.41
3 ppn,46,1.4
3 ppn,47,1.38
3 ppn,48,1.37
3 ppn,49,1.37
3 ppn,50,1.41
6 ppn,1,513.81
1 ppn,1,445.37
4 ppn,1,484.59
5 ppn,1,511.94
3 ppn,1,468.73
pfs-omp: 7,1,101.22
pfs-omp: 7,2,1.41
pfs-omp: 7,3,1.38
pfs-omp: 7,4,1.38
pfs-omp: 7,5,1.49
pfs-omp: 7,6,1.39
pfs-omp: 7,7,1.37
pfs-omp: 7,8,1.36
pfs-omp: 7,9,1.35
pfs-omp: 7,10,1.41
pfs-omp: 7,11,1.38
pfs-omp: 7,12,1.37
pfs-omp: 7,13,1.36
pfs-omp: 7,14,1.35
pfs-omp: 7,15,1.41
pfs-omp: 7,16,1.38
pfs-omp: 7,17,1.37
pfs-omp: 7,18,1.36
pfs-omp: 7,19,1.35
pfs-omp: 7,20,1.41
pfs-omp: 7,21,1.38
pfs-omp: 7,22,1.37
pfs-omp: 7,23,1.36
pfs-omp: 7,24,1.37
pfs-omp: 7,25,1.54
pfs-omp: 7,26,1.39
pfs-omp: 7,27,1.39
pfs-omp: 7,28,1.38
pfs-omp: 7,29,1.46
pfs-omp: 7,30,1.42
pfs-omp: 7,31,1.39
pfs-omp: 7,32,1.37
pfs-omp: 7,33,1.37
pfs-omp: 7,34,1.37
pfs-omp: 7,35,1.52
pfs-omp: 7,36,1.39
pfs-omp: 7,37,1.38
pfs-omp: 7,38,1.37
pfs-omp: 7,39,1.36
pfs-omp: 7,40,1.41
pfs-omp: 7,41,1.39
pfs-omp: 7,42,1.39
pfs-omp: 7,43,1.36
pfs-omp: 7,44,1.36
pfs-omp: 7,45,1.42
pfs-omp: 7,46,1.39
pfs-omp: 7,47,1.37
pfs-omp: 7,48,1.36
pfs-omp: 7,49,1.37
pfs-omp: 7,50,1.4
pfs-omp: 7-noio,1,2.7
pfs-omp: 7-noio,2,1.36
pfs-omp: 7-noio,3,1.36
pfs-omp: 7-noio,4,1.39
pfs-omp: 7-noio,5,1.48
pfs-omp: 7-noio,6,1.44
pfs-omp: 7-noio,7,1.38
pfs-omp: 7-noio,8,1.43
pfs-omp: 7-noio,9,1.36
pfs-omp: 7-noio,10,1.41
pfs-omp: 7-noio,11,1.39
pfs-omp: 7-noio,12,1.4
pfs-omp: 7-noio,13,1.37
pfs-omp: 7-noio,14,1.36
pfs-omp: 7-noio,15,1.42
pfs-omp: 7-noio,16,1.41
pfs-omp: 7-noio,17,1.43
pfs-omp: 7-noio,18,1.43
pfs-omp: 7-noio,19,1.37
pfs-omp: 7-noio,20,1.41
pfs-omp: 7-noio,21,1.4
pfs-omp: 7-noio,22,1.39
pfs-omp: 7-noio,23,1.38
pfs-omp: 7-noio,24,1.43
pfs-omp: 7-noio,25,1.42
pfs-omp: 7-noio,26,1.4
pfs-omp: 7-noio,27,1.39
pfs-omp: 7-noio,28,1.37
pfs-omp: 7-noio,29,1.37
pfs-omp: 7-noio,30,1.41
pfs-omp: 7-noio,31,1.4
pfs-omp: 7-noio,32,1.45
pfs-omp: 7-noio,33,1.37
pfs-omp: 7-noio,34,1.36
pfs-omp: 7-noio,35,1.43
pfs-omp: 7-noio,36,1.39
pfs-omp: 7-noio,37,1.38
pfs-omp: 7-noio,38,1.38
pfs-omp: 7-noio,39,1.43
pfs-omp: 7-noio,40,1.43
pfs-omp: 7-noio,41,1.39
pfs-omp: 7-noio,42,1.46
pfs-omp: 7-noio,43,1.38
pfs-omp: 7-noio,44,1.36
pfs-omp: 7-noio,45,1.42
pfs-omp: 7-noio,46,1.38
pfs-omp: 7-noio,47,1.38
pfs-omp: 7-noio,48,1.38
pfs-omp: 7-noio,49,1.42
pfs-omp: 7-noio,50,1.43
pfs-omp: 7-noio,1,2.62
pfs-omp: 7-noio,2,1.38
pfs-omp: 7-noio,3,1.39
pfs-omp: 7-noio,4,1.39
pfs-omp: 7-noio,5,1.48
pfs-omp: 7-noio,6,1.39
pfs-omp: 7-noio,7,1.4
pfs-omp: 7-noio,8,1.44
pfs-omp: 7-noio,9,1.37
pfs-omp: 7-noio,10,1.49
pfs-omp: 7-noio,11,1.45
pfs-omp: 7-noio,12,1.38
pfs-omp: 7-noio,13,1.38
pfs-omp: 7-noio,14,1.37
pfs-omp: 7-noio,15,1.47
pfs-omp: 7-noio,16,1.4
pfs-omp: 7-noio,17,1.38
pfs-omp: 7-noio,18,1.38
pfs-omp: 7-noio,19,1.35
pfs-omp: 7-noio,20,1.41
pfs-omp: 7-noio,21,1.41
pfs-omp: 7-noio,22,1.39
pfs-omp: 7-noio,23,1.37
pfs-omp: 7-noio,24,1.36
pfs-omp: 7-noio,25,1.48
pfs-omp: 7-noio,26,1.4
pfs-omp: 7-noio,27,1.39
pfs-omp: 7-noio,28,1.37
pfs-omp: 7-noio,29,1.36
pfs-omp: 7-noio,30,1.41
pfs-omp: 7-noio,31,1.39
pfs-omp: 7-noio,32,1.37
pfs-omp: 7-noio,33,1.37
pfs-omp: 7-noio,34,1.43
pfs-omp: 7-noio,35,1.43
pfs-omp: 7-noio,36,1.39
pfs-omp: 7-noio,37,1.38
pfs-omp: 7-noio,38,1.38
pfs-omp: 7-noio,39,1.37
pfs-omp: 7-noio,40,1.41
pfs-omp: 7-noio,41,1.38
pfs-omp: 7-noio,42,1.39
pfs-omp: 7-noio,43,1.37
pfs-omp: 7-noio,44,1.35
pfs-omp: 7-noio,45,1.42
pfs-omp: 7-noio,46,1.39
pfs-omp: 7-noio,47,1.37
pfs-omp: 7-noio,48,1.36
pfs-omp: 7-noio,49,1.36
pfs-omp: 7-noio,50,1.41
pfs-omp: 7-noio,1,2.56
pfs-omp: 7-noio,2,1.42
pfs-omp: 7-noio,3,1.37
pfs-omp: 7-noio,4,1.38
pfs-omp: 7-noio,5,1.47
pfs-omp: 7-noio,6,1.4
pfs-omp: 7-noio,7,1.39
pfs-omp: 7-noio,8,1.44
pfs-omp: 7-noio,9,1.42
pfs-omp: 7-noio,10,1.43
pfs-omp: 7-noio,11,1.45
pfs-omp: 7-noio,12,1.38
pfs-omp: 7-noio,13,1.37
pfs-omp: 7-noio,14,1.36
pfs-omp: 7-noio,15,1.44
pfs-omp: 7-noio,16,1.4
pfs-omp: 7-noio,17,1.37
pfs-omp: 7-noio,18,1.37
pfs-omp: 7-noio,19,1.36
pfs-omp: 7-noio,20,1.42
pfs-omp: 7-noio,21,1.4
pfs-omp: 7-noio,22,1.38
pfs-omp: 7-noio,23,1.47
pfs-omp: 7-noio,24,1.37
pfs-omp: 7-noio,25,1.43
pfs-omp: 7-noio,26,1.4
pfs-omp: 7-noio,27,1.39
pfs-omp: 7-noio,28,1.37
pfs-omp: 7-noio,29,1.36
pfs-omp: 7-noio,30,1.43
pfs-omp: 7-noio,31,1.41
pfs-omp: 7-noio,32,1.38
pfs-omp: 7-noio,33,1.37
pfs-omp: 7-noio,34,1.41
pfs-omp: 7-noio,35,1.49
pfs-omp: 7-noio,36,1.39
pfs-omp: 7-noio,37,1.37
pfs-omp: 7-noio,38,1.37
pfs-omp: 7-noio,39,1.36
pfs-omp: 7-noio,40,1.41
pfs-omp: 7-noio,41,1.39
pfs-omp: 7-noio,42,1.38
pfs-omp: 7-noio,43,1.37
pfs-omp: 7-noio,44,1.36
pfs-omp: 7-noio,45,1.41
pfs-omp: 7-noio,46,1.39
pfs-omp: 7-noio,47,1.38
pfs-omp: 7-noio,48,1.42
pfs-omp: 7-noio,49,1.35
pfs-omp: 7-noio,50,1.41
pfs-omp: 7-noio,1,2.6
pfs-omp: 7-noio,2,1.37
pfs-omp: 7-noio,3,1.37
pfs-omp: 7-noio,4,1.37
pfs-omp: 7-noio,5,1.49
pfs-omp: 7-noio,6,1.38
pfs-omp: 7-noio,7,1.37
pfs-omp: 7-noio,8,1.36
pfs-omp: 7-noio,9,1.36
pfs-omp: 7-noio,10,1.42
pfs-omp: 7-noio,11,1.39
pfs-omp: 7-noio,12,1.39
pfs-omp: 7-noio,13,1.38
pfs-omp: 7-noio,14,1.35
pfs-omp: 7-noio,15,1.43
pfs-omp: 7-noio,16,1.42
pfs-omp: 7-noio,17,1.38
pfs-omp: 7-noio,18,1.38
pfs-omp: 7-noio,19,1.36
pfs-omp: 7-noio,20,1.42
pfs-omp: 7-noio,21,1.39
pfs-omp: 7-noio,22,1.39
pfs-omp: 7-noio,23,1.37
pfs-omp: 7-noio,24,1.36
pfs-omp: 7-noio,25,1.41
pfs-omp: 7-noio,26,1.44
pfs-omp: 7-noio,27,1.39
pfs-omp: 7-noio,28,1.38
pfs-omp: 7-noio,29,1.42
pfs-omp: 7-noio,30,1.41
pfs-omp: 7-noio,31,1.4
pfs-omp: 7-noio,32,1.38
pfs-omp: 7-noio,33,1.37
pfs-omp: 7-noio,34,1.36
pfs-omp: 7-noio,35,1.41
pfs-omp: 7-noio,36,1.39
pfs-omp: 7-noio,37,1.39
pfs-omp: 7-noio,38,1.37
pfs-omp: 7-noio,39,1.36
pfs-omp: 7-noio,40,1.42
pfs-omp: 7-noio,41,1.39
pfs-omp: 7-noio,42,1.38
pfs-omp: 7-noio,43,1.37
pfs-omp: 7-noio,44,1.36
pfs-omp: 7-noio,45,1.41
pfs-omp: 7-noio,46,1.45
pfs-omp: 7-noio,47,1.39
pfs-omp: 7-noio,48,1.36
pfs-omp: 7-noio,49,1.35
pfs-omp: 7-noio,50,1.41
pfs-omp: 7-noio,1,2.6
pfs-omp: 7-noio,2,1.37
pfs-omp: 7-noio,3,1.45
pfs-omp: 7-noio,4,1.37
pfs-omp: 7-noio,5,1.47
pfs-omp: 7-noio,6,1.39
pfs-omp: 7-noio,7,1.38
pfs-omp: 7-noio,8,1.36
pfs-omp: 7-noio,9,1.35
pfs-omp: 7-noio,10,1.43
pfs-omp: 7-noio,11,1.41
pfs-omp: 7-noio,12,1.38
pfs-omp: 7-noio,13,1.37
pfs-omp: 7-noio,14,1.37
pfs-omp: 7-noio,15,1.42
pfs-omp: 7-noio,16,1.41
pfs-omp: 7-noio,17,1.38
pfs-omp: 7-noio,18,1.38
pfs-omp: 7-noio,19,1.36
pfs-omp: 7-noio,20,1.41
pfs-omp: 7-noio,21,1.4
pfs-omp: 7-noio,22,1.45
pfs-omp: 7-noio,23,1.38
pfs-omp: 7-noio,24,1.36
pfs-omp: 7-noio,25,1.42
pfs-omp: 7-noio,26,1.39
pfs-omp: 7-noio,27,1.38
pfs-omp: 7-noio,28,1.37
pfs-omp: 7-noio,29,1.36
pfs-omp: 7-noio,30,1.43
pfs-omp: 7-noio,31,1.41
pfs-omp: 7-noio,32,1.37
pfs-omp: 7-noio,33,1.37
pfs-omp: 7-noio,34,1.36
pfs-omp: 7-noio,35,1.47
pfs-omp: 7-noio,36,1.4
pfs-omp: 7-noio,37,1.38
pfs-omp: 7-noio,38,1.42
pfs-omp: 7-noio,39,1.36
pfs-omp: 7-noio,40,1.42
pfs-omp: 7-noio,41,1.39
pfs-omp: 7-noio,42,1.49
pfs-omp: 7-noio,43,1.37
pfs-omp: 7-noio,44,1.35
pfs-omp: 7-noio,45,1.41
pfs-omp: 7-noio,46,1.4
pfs-omp: 7-noio,47,1.38
pfs-omp: 7-noio,48,1.43
pfs-omp: 7-noio,49,1.35
pfs-omp: 7-noio,50,1.41
pfs-omp: 7-noio,1,2.57
pfs-omp: 7-noio,2,1.44
pfs-omp: 7-noio,3,1.37
pfs-omp: 7-noio,4,1.38
pfs-omp: 7-noio,5,1.48
pfs-omp: 7-noio,6,1.4
pfs-omp: 7-noio,7,1.39
pfs-omp: 7-noio,8,1.36
pfs-omp: 7-noio,9,1.36
pfs-omp: 7-noio,10,1.41
pfs-omp: 7-noio,11,1.4
pfs-omp: 7-noio,12,1.39
pfs-omp: 7-noio,13,1.37
pfs-omp: 7-noio,14,1.36
pfs-omp: 7-noio,15,1.43
pfs-omp: 7-noio,16,1.41
pfs-omp: 7-noio,17,1.39
pfs-omp: 7-noio,18,1.43
pfs-omp: 7-noio,19,1.42
pfs-omp: 7-noio,20,1.43
pfs-omp: 7-noio,21,1.39
pfs-omp: 7-noio,22,1.44
pfs-omp: 7-noio,23,1.37
pfs-omp: 7-noio,24,1.37
pfs-omp: 7-noio,25,1.49
pfs-omp: 7-noio,26,1.46
pfs-omp: 7-noio,27,1.38
pfs-omp: 7-noio,28,1.36
pfs-omp: 7-noio,29,1.37
pfs-omp: 7-noio,30,1.42
pfs-omp: 7-noio,31,1.39
pfs-omp: 7-noio,32,1.39
pfs-omp: 7-noio,33,1.37
pfs-omp: 7-noio,34,1.36
pfs-omp: 7-noio,35,1.41
pfs-omp: 7-noio,36,1.4
pfs-omp: 7-noio,37,1.37
pfs-omp: 7-noio,38,1.37
pfs-omp: 7-noio,39,1.37
pfs-omp: 7-noio,40,1.42
pfs-omp: 7-noio,41,1.39
pfs-omp: 7-noio,42,1.37
pfs-omp: 7-noio,43,1.37
pfs-omp: 7-noio,44,1.36
pfs-omp: 7-noio,45,1.42
pfs-omp: 7-noio,46,1.39
pfs-omp: 7-noio,47,1.37
pfs-omp: 7-noio,48,1.37
pfs-omp: 7-noio,49,1.36
pfs-omp: 7-noio,50,1.41
pfs-omp: 7-noio,1,2.57
pfs-omp: 7-noio,2,1.36
pfs-omp: 7-noio,3,1.36
pfs-omp: 7-noio,4,1.36
pfs-omp: 7-noio,5,1.46
pfs-omp: 7-noio,6,1.37
pfs-omp: 7-noio,7,1.36
pfs-omp: 7-noio,8,1.35
pfs-omp: 7-noio,9,1.34
pfs-omp: 7-noio,10,1.39
pfs-omp: 7-noio,11,1.38
pfs-omp: 7-noio,12,1.35
pfs-omp: 7-noio,13,1.35
pfs-omp: 7-noio,14,1.33
pfs-omp: 7-noio,15,1.41
pfs-omp: 7-noio,16,1.47
pfs-omp: 7-noio,17,1.46
pfs-omp: 7-noio,18,1.36
pfs-omp: 7-noio,19,1.35
pfs-omp: 7-noio,20,1.41
pfs-omp: 7-noio,21,1.4
pfs-omp: 7-noio,22,1.39
pfs-omp: 7-noio,23,1.36
pfs-omp: 7-noio,24,1.36
pfs-omp: 7-noio,25,1.42
pfs-omp: 7-noio,26,1.38
pfs-omp: 7-noio,27,1.38
pfs-omp: 7-noio,28,1.37
pfs-omp: 7-noio,29,1.36
pfs-omp: 7-noio,30,1.41
pfs-omp: 7-noio,31,1.38
pfs-omp: 7-noio,32,1.38
pfs-omp: 7-noio,33,1.36
pfs-omp: 7-noio,34,1.34
pfs-omp: 7-noio,35,1.42
pfs-omp: 7-noio,36,1.4
pfs-omp: 7-noio,37,1.37
pfs-omp: 7-noio,38,1.37
pfs-omp: 7-noio,1,2.64
pfs-omp: 7-noio,2,1.38
pfs-omp: 7-noio,3,1.36
pfs-omp: 7-noio,4,1.38
pfs-omp: 7-noio,5,1.56
pfs-omp: 7-noio,6,1.4
pfs-omp: 7-noio,7,1.37
pfs-omp: 7-noio,8,1.36
pfs-omp: 7-noio,9,1.35
pfs-omp: 7-noio,10,1.42
pfs-omp: 7-noio,11,1.4
pfs-omp: 7-noio,12,1.38
pfs-omp: 7-noio,13,1.38
pfs-omp: 7-noio,14,1.37
pfs-omp: 7-noio,15,1.42
pfs-omp: 7-noio,16,1.4
pfs-omp: 7-noio,17,1.39
pfs-omp: 7-noio,18,1.37
pfs-omp: 7-noio,19,1.36
pfs-omp: 7-noio,20,1.48
pfs-omp: 7-noio,21,1.38
pfs-omp: 7-noio,22,1.38
pfs-omp: 7-noio,23,1.38
pfs-omp: 7-noio,24,1.35
pfs-omp: 7-noio,25,1.42
pfs-omp: 7-noio,26,1.4
pfs-omp: 7-noio,27,1.38
pfs-omp: 7-noio,28,1.37
pfs-omp: 7-noio,29,1.36
pfs-omp: 7-noio,30,1.42
