Label,Total workflow time,bb_to_pfs__data-size-limit,bb_tp_pfs_ppn,bb_to_pfs__nprocs,bb_to_pfs__sleep-interval,bb_to_pfs__walltime_savanna,forward__adios_output_dest,forward__walltime_savanna,run_dir
8ppn-all-1sec,381.82,-1,8,6400,1,381.82,bb,336.45,kmehta/256-50-6GBpn-flush-continous-1sec-all-8ppn-1/run-0.iteration-0
4ppn-all-10sec,391.63,-1,4,3200,10,391.63,bb,348.25,kmehta/256-50-6GBpn-flush-continous-10sec-all-4ppn/run-0.iteration-0
4ppn-all-10sec,439.89,-1,4,3200,10,439.89,bb,394.72,kmehta/256-50-6GBpn-flush-continous-10sec-all-4ppn/run-0.iteration-1
4ppn-all-10sec,398.75,-1,4,3200,10,398.75,bb,363.27,kmehta/256-50-6GBpn-flush-continous-10sec-all-4ppn/run-0.iteration-2
8ppn-1GB-5sec,380.32,1073741824,8,6400,5,380.32,bb,348.01,kmehta/256-50-6GBpn-flush-continous-5sec-1GB/run-0.iteration-0
8ppn-1GB-5sec,491.58,1073741824,8,6400,5,491.58,bb,459.07,kmehta/256-50-6GBpn-flush-continous-5sec-1GB/run-0.iteration-1
8ppn-1GB-5sec,364.88,1073741824,8,6400,5,364.88,bb,332.4,kmehta/256-50-6GBpn-flush-continous-5sec-1GB/run-0.iteration-2
8ppn-1GB-5sec,384.96,1073741824,8,6400,5,384.96,bb,352.71,kmehta/256-50-6GBpn-flush-continous-5sec-1GB-8ppn-2/run-0.iteration-0
8ppn-1GB-5sec,379.69,1073741824,8,6400,5,379.69,bb,347.55,kmehta/256-50-6GBpn-flush-continous-5sec-1GB-8ppn-2/run-0.iteration-1
8ppn-1GB-5sec,392.08,1073741824,8,6400,5,392.08,bb,358.92,kmehta/256-50-6GBpn-flush-continous-5sec-1GB-8ppn-2/run-0.iteration-2
no-io,271.5,,,,,,pfs,271.5,kmehta/256-50-6GBpn-NULL-0/run-0.iteration-0
8ppn-all-1sec,359.37,-1,8,6400,1,359.37,bb,330.53,kmehta/256-50-6GBpn-flush-continous-1sec-all-8ppn-0/run-0.iteration-0
8ppn-128MB-5sec,514.07,134217728,8,6400,5,514.07,bb,322.55,kmehta/256-50-6GBpn-flush-continous-5sec-128MB/run-0.iteration-0
8ppn-128MB-5sec,527.39,134217728,8,6400,5,527.39,bb,304.68,kmehta/256-50-6GBpn-flush-continous-5sec-128MB/run-0.iteration-1
8ppn-128MB-5sec,503.74,134217728,8,6400,5,503.74,bb,308.75,kmehta/256-50-6GBpn-flush-continous-5sec-128MB/run-0.iteration-2
1ppn-all-1sec,359.68,-1,1,800,1,359.68,bb,331.19,kmehta/256-50-6GBpn-flush-continous-1sec-all-1ppn/run-0.iteration-0
1ppn-all-1sec,356.6,-1,1,800,1,356.6,bb,328.12,kmehta/256-50-6GBpn-flush-continous-1sec-all-1ppn/run-0.iteration-1
1ppn-all-1sec,377.72,-1,1,800,1,377.72,bb,326.91,kmehta/256-50-6GBpn-flush-continous-1sec-all-1ppn/run-0.iteration-2
PFS,396.55,,,,,,pfs,396.55,kmehta/256-50-simul-runs-6GBpn/run-0.iteration-0
PFS,465.15,,,,,,pfs,465.15,kmehta/256-50-simul-runs-6GBpn/run-0.iteration-1
PFS,488.03,,,,,,pfs,488.03,kmehta/256-50-simul-runs-6GBpn/run-0.iteration-2
8ppn-all-1sec,363.68,-1,8,6400,1,363.68,bb,334.43,kmehta/256-50-6GBpn-flush-continous-1sec-all-8ppn-2/run-0.iteration-0
no-io,282.51,,,,,,pfs,282.51,kmehta/256-50-6GBpn-NULL-2/run-0.iteration-0
2ppn-all-1sec,368.33,-1,2,1600,1,368.33,bb,339.24,kmehta/256-50-6GBpn-flush-continous-1sec-all-2ppn/run-0.iteration-0
2ppn-all-1sec,428.23,-1,2,1600,1,428.23,bb,400.21,kmehta/256-50-6GBpn-flush-continous-1sec-all-2ppn/run-0.iteration-1
2ppn-all-1sec,397.52,-1,2,1600,1,397.52,bb,368.93,kmehta/256-50-6GBpn-flush-continous-1sec-all-2ppn/run-0.iteration-2
8ppn-100GB-30sec,587.85,1.07374E+11,8,6400,30,587.85,bb,531.05,kmehta/256-50-6GBpn-flush-continous-30sec-100GB/run-0.iteration-0
8ppn-100GB-30sec,398.06,1.07374E+11,8,6400,30,398.06,bb,341.45,kmehta/256-50-6GBpn-flush-continous-30sec-100GB/run-0.iteration-1
8ppn-100GB-30sec,520.78,1.07374E+11,8,6400,30,520.78,bb,464.2,kmehta/256-50-6GBpn-flush-continous-30sec-100GB/run-0.iteration-2
8ppn-flush-end,578.19,,8,6400,,251.12,bb,327.07,kmehta/256-50-simul-runs-6GBpn-bb-flushend/run-0.iteration-0
8ppn-flush-end,547.49,,8,6400,,242.3,bb,305.19,kmehta/256-50-simul-runs-6GBpn-bb-flushend/run-0.iteration-1
8ppn-flush-end,561.71,,8,6400,,257.52,bb,304.19,kmehta/256-50-simul-runs-6GBpn-bb-flushend/run-0.iteration-2